22:3:16 - 7/12/2021 - 18.97 - 0.00 - Traffic(0.00) Geophony(0.21) Biophony(0.02) Anthrophony(0.78) 
23:23:1 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:2 - 7/12/2021 - 6.25 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:3 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:4 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.03) Anthrophony(0.00) 
23:23:5 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:23:6 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.00) Geophony(0.49) Biophony(0.02) Anthrophony(0.49) 
23:23:7 - 7/12/2021 - 6.25 - 0.00 - Traffic(0.53) Geophony(0.09) Biophony(0.04) Anthrophony(0.34) 
23:23:8 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.07) Geophony(0.00) Biophony(0.00) Anthrophony(0.93) 
23:23:9 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.82) Geophony(0.00) Biophony(0.14) Anthrophony(0.04) 
23:23:10 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.78) Geophony(0.00) Biophony(0.13) Anthrophony(0.09) 
23:23:11 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.00) Geophony(0.01) Biophony(0.39) Anthrophony(0.60) 
23:23:12 - 7/12/2021 - 6.27 - 0.00 - Traffic(0.07) Geophony(0.27) Biophony(0.00) Anthrophony(0.66) 
23:23:13 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.79) Geophony(0.00) Biophony(0.00) Anthrophony(0.21) 
23:23:14 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.95) Geophony(0.00) Biophony(0.01) Anthrophony(0.04) 
23:23:15 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.96) Geophony(0.00) Biophony(0.02) Anthrophony(0.02) 
23:23:16 - 7/12/2021 - 6.25 - 0.00 - Traffic(0.90) Geophony(0.00) Biophony(0.10) Anthrophony(0.00) 
23:23:17 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.59) Geophony(0.00) Biophony(0.03) Anthrophony(0.38) 
23:23:18 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.93) Geophony(0.00) Biophony(0.00) Anthrophony(0.07) 
23:23:19 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.06) Biophony(0.01) Anthrophony(0.93) 
23:23:20 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.00) 
23:23:21 - 7/12/2021 - 6.25 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:23:22 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:23:23 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:23:24 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.00) Geophony(0.03) Biophony(0.00) Anthrophony(0.97) 
23:23:25 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.01) Biophony(0.00) Anthrophony(0.99) 
23:23:26 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.12) Geophony(0.12) Biophony(0.00) Anthrophony(0.75) 
23:23:27 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.00) Geophony(0.90) Biophony(0.04) Anthrophony(0.06) 
23:23:28 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.79) Biophony(0.21) Anthrophony(0.01) 
23:23:29 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.00) 
23:23:30 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:31 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.50) Biophony(0.01) Anthrophony(0.50) 
23:23:32 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.90) Biophony(0.00) Anthrophony(0.10) 
23:23:33 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:34 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:35 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:36 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:23:37 - 7/12/2021 - 6.20 - 0.00 - Traffic(1.00) Geophony(0.00) Biophony(0.00) Anthrophony(0.00) 
23:23:38 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:23:39 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.01) 
23:23:40 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.04) Anthrophony(0.00) 
23:23:41 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.03) Anthrophony(0.00) 
23:23:42 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:23:43 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.00) 
23:23:44 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.00) 
23:23:45 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:23:46 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.00) Anthrophony(0.07) 
23:23:47 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.04) Anthrophony(0.00) 
23:23:48 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.89) Biophony(0.10) Anthrophony(0.01) 
23:23:49 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.14) Anthrophony(0.00) 
23:23:50 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.07) Anthrophony(0.00) 
23:23:51 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.90) Biophony(0.10) Anthrophony(0.00) 
23:23:52 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.00) 
23:23:53 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:23:54 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.07) Anthrophony(0.00) 
23:23:55 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.02) Anthrophony(0.02) 
23:23:56 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.01) 
23:23:57 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.21) Anthrophony(0.02) 
23:23:58 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:23:59 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:24:0 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:1 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.04) Anthrophony(0.00) 
23:24:2 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.01) 
23:24:3 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.81) Biophony(0.05) Anthrophony(0.14) 
23:24:4 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.01) 
23:24:5 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:24:6 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.01) 
23:24:7 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:8 - 7/12/2021 - 6.23 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.01) 
23:24:9 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:10 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.01) 
23:24:11 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.02) 
23:24:12 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.01) Anthrophony(0.06) 
23:24:13 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.00) 
23:24:14 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.89) Biophony(0.10) Anthrophony(0.02) 
23:24:15 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.92) Biophony(0.06) Anthrophony(0.02) 
23:24:16 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.03) Anthrophony(0.00) 
23:24:17 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:24:18 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.81) Biophony(0.14) Anthrophony(0.05) 
23:24:19 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.82) Biophony(0.14) Anthrophony(0.04) 
23:24:20 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.92) Biophony(0.06) Anthrophony(0.02) 
23:24:21 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:24:22 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.00) 
23:24:23 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:24 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.01) 
23:24:25 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.14) Anthrophony(0.01) 
23:24:26 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.00) Anthrophony(0.07) 
23:24:27 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.77) Biophony(0.20) Anthrophony(0.04) 
23:24:28 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.00) Anthrophony(0.04) 
23:24:29 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.00) Anthrophony(0.04) 
23:24:30 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:24:31 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.01) 
23:24:32 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.03) Anthrophony(0.03) 
23:24:33 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.00) 
23:24:34 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:35 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.00) 
23:24:36 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.02) Anthrophony(0.01) 
23:24:37 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.00) 
23:24:38 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:24:39 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:24:40 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.89) Biophony(0.10) Anthrophony(0.02) 
23:24:41 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.13) Anthrophony(0.09) 
23:24:42 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.03) Anthrophony(0.00) 
23:24:43 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.92) Biophony(0.06) Anthrophony(0.02) 
23:24:44 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.68) Biophony(0.28) Anthrophony(0.05) 
23:24:45 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:24:46 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.02) Anthrophony(0.01) 
23:24:47 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.91) Biophony(0.03) Anthrophony(0.06) 
23:24:48 - 7/12/2021 - 6.21 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.00) Anthrophony(0.04) 
23:24:49 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.39) Biophony(0.00) Anthrophony(0.61) 
23:24:50 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.82) Biophony(0.09) Anthrophony(0.09) 
23:24:51 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.00) Anthrophony(0.02) 
23:24:52 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:24:53 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.00) Anthrophony(0.04) 
23:24:54 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.00) Anthrophony(0.04) 
23:24:55 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:24:56 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.01) Anthrophony(0.14) 
23:24:57 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.92) Biophony(0.06) Anthrophony(0.02) 
23:24:58 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.81) Biophony(0.14) Anthrophony(0.05) 
23:24:59 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.87) Biophony(0.04) Anthrophony(0.09) 
23:25:0 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.91) Biophony(0.06) Anthrophony(0.03) 
23:25:1 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.03) Anthrophony(0.03) 
23:25:2 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.03) Anthrophony(0.00) 
23:25:3 - 7/12/2021 - 6.20 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.03) Anthrophony(0.03) 
23:25:4 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.88) Biophony(0.09) Anthrophony(0.02) 
23:25:5 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.87) Biophony(0.04) Anthrophony(0.09) 
23:25:6 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.09) Anthrophony(0.13) 
23:25:6 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.03) Anthrophony(0.04) 
23:25:7 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.13) Anthrophony(0.09) 
23:25:8 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:25:9 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.94) Biophony(0.04) Anthrophony(0.02) 
23:25:10 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.69) Biophony(0.28) Anthrophony(0.03) 
23:25:11 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.03) Anthrophony(0.04) 
23:25:12 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.06) Anthrophony(0.09) 
23:25:14 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:25:15 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.09) Anthrophony(0.06) 
23:25:16 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.79) Biophony(0.01) Anthrophony(0.21) 
23:25:17 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.01) Anthrophony(0.06) 
23:25:17 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.60) Biophony(0.16) Anthrophony(0.25) 
23:25:18 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.89) Biophony(0.02) Anthrophony(0.10) 
23:25:19 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.89) Biophony(0.10) Anthrophony(0.02) 
23:25:20 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.01) Anthrophony(0.04) 
23:25:21 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.01) Anthrophony(0.03) 
23:25:22 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:25:23 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.14) Anthrophony(0.00) 
23:25:24 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.92) Biophony(0.04) Anthrophony(0.04) 
23:25:25 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:25:26 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.70) Biophony(0.29) Anthrophony(0.02) 
23:25:27 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:25:28 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.00) Anthrophony(0.01) 
23:25:29 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:25:30 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:25:31 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.01) 
23:25:32 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.77) Biophony(0.20) Anthrophony(0.02) 
23:25:33 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.01) Anthrophony(0.04) 
23:25:34 - 7/12/2021 - 6.18 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.09) Anthrophony(0.13) 
23:25:35 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:25:36 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.88) Biophony(0.09) Anthrophony(0.02) 
23:25:37 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.19) Biophony(0.08) Anthrophony(0.73) 
23:25:38 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.70) Geophony(0.00) Biophony(0.01) Anthrophony(0.29) 
23:25:39 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.81) Geophony(0.00) Biophony(0.14) Anthrophony(0.05) 
23:25:40 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.28) Biophony(0.44) Anthrophony(0.28) 
23:25:41 - 7/12/2021 - 6.16 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:25:42 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.04) Geophony(0.37) Biophony(0.02) Anthrophony(0.57) 
23:25:43 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.68) Biophony(0.05) Anthrophony(0.28) 
23:25:44 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.94) Biophony(0.02) Anthrophony(0.04) 
23:25:45 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.00) 
23:25:46 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.00) 
23:25:47 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.77) Biophony(0.20) Anthrophony(0.04) 
23:25:48 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.87) Biophony(0.09) Anthrophony(0.04) 
23:25:49 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.00) 
23:25:50 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:25:51 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.03) Anthrophony(0.01) 
23:25:52 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.06) Anthrophony(0.01) 
23:25:53 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.99) Biophony(0.01) Anthrophony(0.00) 
23:25:54 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:25:55 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.07) Anthrophony(0.00) 
23:25:56 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.00) 
23:25:57 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.01) 
23:25:58 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.90) Biophony(0.10) Anthrophony(0.00) 
23:25:59 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.79) Biophony(0.21) Anthrophony(0.00) 
23:26:0 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.21) Anthrophony(0.02) 
23:26:1 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.04) Anthrophony(0.00) 
23:26:2 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.93) Biophony(0.07) Anthrophony(0.00) 
23:26:3 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.78) Biophony(0.21) Anthrophony(0.02) 
23:26:4 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.03) Anthrophony(0.03) 
23:26:5 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.94) Biophony(0.04) Anthrophony(0.02) 
23:26:6 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.14) Anthrophony(0.02) 
23:26:7 - 7/12/2021 - 6.14 - 0.00 - Traffic(0.00) Geophony(0.84) Biophony(0.02) Anthrophony(0.14) 
23:26:8 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.87) Geophony(0.06) Biophony(0.01) Anthrophony(0.06) 
23:26:9 - 7/12/2021 - 6.10 - 0.00 - Traffic(1.00) Geophony(0.00) Biophony(0.00) Anthrophony(0.00) 
23:26:10 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.94) Geophony(0.00) Biophony(0.04) Anthrophony(0.02) 
23:26:12 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.06) Biophony(0.57) Anthrophony(0.37) 
23:26:13 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.57) Biophony(0.37) Anthrophony(0.06) 
23:26:14 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.18) Geophony(0.67) Biophony(0.11) Anthrophony(0.05) 
23:26:15 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.01) Anthrophony(0.00) 
23:26:16 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.85) Biophony(0.14) Anthrophony(0.01) 
23:26:17 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(1.00) Biophony(0.00) Anthrophony(0.00) 
23:26:18 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.00) Anthrophony(0.04) 
23:26:19 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.79) Biophony(0.00) Anthrophony(0.21) 
23:26:20 - 7/12/2021 - 6.08 - 0.00 - Traffic(0.00) Geophony(0.73) Biophony(0.19) Anthrophony(0.08) 
23:26:21 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.95) Biophony(0.01) Anthrophony(0.04) 
23:26:22 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.96) Biophony(0.02) Anthrophony(0.03) 
23:26:23 - 7/12/2021 - 6.12 - 0.00 - Traffic(0.00) Geophony(0.97) Biophony(0.02) Anthrophony(0.01) 
23:26:24 - 7/12/2021 - 6.10 - 0.00 - Traffic(0.00) Geophony(0.98) Biophony(0.02) Anthrophony(0.01) 
